complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_what_happened
123456,2023-01-15,Credit card,General purpose credit card,Problem with a purchase shown on your statement,Credit card purchase shown on your statement,"I made a purchase of $500 at XYZ store on January 1st, but the charge on my statement is showing as $750. I have contacted the merchant who confirmed the correct amount is $500. I want the extra $250 removed from my bill.",,"ABC Bank",CA,90210,,Consent provided,Web,2023-01-15,Closed with explanation,Yes,No,
234567,2023-01-20,Mortgage,Conventional mortgage,Trouble during payment process,Payment processing error,"I have been trying to make my mortgage payment online for the past week but keep getting an error message saying 'Payment cannot be processed at this time.' I need to make my payment before the due date to avoid late fees. I've called customer service twice but have been on hold for over an hour each time without speaking to a representative.",,"XYZ Mortgage",TX,75001,,Consent provided,Web,2023-01-20,Closed with monetary relief,Yes,No,
345678,2023-01-25,Bank account or service,Checking account,Managing an account,Opening an account,"I opened a new checking account and was told there would be no monthly maintenance fee. However, I was charged a $12 maintenance fee in the first month. When I called customer service, they said I needed to set up direct deposit to avoid the fee, which was not mentioned when I opened the account.",,"Big National Bank",NY,10001,,Consent provided,Web,2023-01-25,Closed with non-monetary relief,Yes,Yes,
456789,2023-02-01,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,"I received a collection notice for $3,500 on a credit card I paid off over two years ago. I have the confirmation number and receipts showing the debt was paid in full. Despite sending this proof to the collection agency twice, they continue to call me and send threatening letters.",,"Collections Inc",FL,33101,,Consent provided,Web,2023-02-01,Closed with explanation,No,Yes,
567890,2023-02-05,Credit reporting or repair services,Credit reporting,Problem with a credit reporting company's investigation,Investigation took too long,"I disputed an error on my credit report with TransUnion in November 2022. They said it would take 30 days to investigate, but it's now been over two months and I've received no updates. This error is preventing me from getting approved for an apartment lease that I need urgently.",,"TransUnion",IL,60601,,Consent provided,Web,2023-02-05,In progress,Yes,No,
678901,2023-02-10,Credit card,General purpose credit card,Problem with a purchase shown on your statement,Credit card purchase shown on your statement,"I noticed a charge on my credit card for $89.99 monthly subscription that I never signed up for. This has been happening for 3 months now. I never authorized this recurring charge and want all charges refunded and cancelled immediately.",,"ABC Bank",WA,98101,,Consent provided,Web,2023-02-10,Closed with monetary relief,Yes,No,
789012,2023-02-15,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"My student loan servicer told me I qualified for Public Service Loan Forgiveness after 5 years of payments. I've been making payments based on this information, but now they're saying I never qualified and all those payments don't count toward forgiveness. I made career decisions based on this information.",,"Student Loan Corp",MA,02110,,Consent provided,Web,2023-02-15,Closed with explanation,Yes,Yes,
890123,2023-02-20,Mortgage,FHA mortgage,Struggling to pay mortgage,Behind on payments,"I lost my job due to COVID-19 in December and have been unable to make my full mortgage payment for January and February. I've tried to contact my mortgage servicer multiple times to discuss forbearance options under the CARES Act, but have not received any response.",,"XYZ Mortgage",CA,94110,,Consent provided,Phone,2023-02-20,Closed with non-monetary relief,Yes,No,
901234,2023-02-25,Payday loan, online,Charged fees or interest you didn't expect,Unexpected charges,"I took out a payday loan for $300 with what I thought was a one-time fee. Now they're saying I owe over $900 due to additional fees that weren't disclosed. The original paperwork showed only a single finance charge of $45, not this escalating amount.",,"Quick Cash Now",GA,30301,,Consent provided,Web,2023-02-25,Closed without relief,Yes,Yes,
012345,2023-03-01,Vehicle loan or lease,Loan,Problem with the interest rate,Getting a different rate than you applied for,"I was approved for an auto loan at 3.9% interest rate, but when I received the final paperwork at the dealership, the rate was 7.25%. When I questioned this, they said the original rate was just an estimate. I wouldn't have proceeded with the purchase if I had known the actual rate would be so much higher.",,"Auto Finance Company",OH,43215,,Consent provided,Web,2023-03-01,In progress,Yes,No, 
